age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
39,7,13,4,1,1,4,1,40,39,0
50,6,13,2,4,0,4,1,13,39,0
38,4,9,0,6,1,4,1,40,39,0
53,4,7,2,6,0,2,1,40,39,0
28,4,13,2,10,5,2,0,40,5,0
37,4,14,2,4,5,4,0,40,39,0
49,4,5,3,8,1,2,0,16,23,0
52,6,9,2,4,0,4,1,45,39,1
31,4,14,4,10,1,4,0,50,39,1
42,4,13,2,4,0,4,1,40,39,1
37,4,10,2,4,0,2,1,80,39,1
30,7,13,2,10,0,1,1,40,19,1
23,4,13,4,1,3,4,0,30,39,0
32,4,12,4,12,1,2,1,50,39,0
40,4,11,2,3,0,1,1,40,0,1
34,4,4,2,14,0,0,1,45,26,0
25,6,9,4,5,3,4,1,35,39,0
32,4,9,4,7,4,4,1,40,39,0
38,4,7,2,12,0,4,1,50,39,0
43,6,14,0,4,4,4,0,45,39,1
40,4,16,2,10,0,4,1,60,39,1
54,4,9,5,8,4,2,0,20,39,0
35,1,5,2,5,0,2,1,40,39,0
43,4,7,2,14,0,4,1,40,39,0
59,4,9,0,13,4,4,0,40,39,0
56,2,13,2,13,0,4,1,40,39,1
19,4,9,4,3,3,4,1,40,39,0
54,0,10,2,0,0,1,1,60,35,1
39,4,9,0,4,1,4,1,80,39,0
49,4,9,2,3,0,4,1,40,39,0
23,2,12,4,11,1,4,1,52,39,0
20,4,10,4,12,3,2,1,44,39,0
45,4,13,0,4,3,4,1,40,39,0
30,1,10,2,1,3,4,1,40,39,0
22,7,10,2,8,0,2,1,15,39,0
48,4,7,4,7,4,4,1,40,33,0
21,4,10,4,7,3,4,1,40,39,0
19,4,9,1,1,5,4,0,25,39,0
31,4,10,2,12,0,4,1,38,0,1
48,6,12,2,10,0,4,1,40,39,0
31,4,5,2,7,0,4,1,43,39,0
53,6,13,2,10,0,4,1,40,39,0
24,4,13,2,13,0,4,1,50,39,0
49,4,9,5,1,4,4,0,40,39,0
25,4,9,4,6,1,4,1,35,39,0
57,1,13,2,10,0,2,1,40,39,1
53,4,9,2,7,0,4,1,38,39,0
44,4,14,0,4,4,4,0,40,39,0
41,7,11,2,3,0,4,1,40,39,0
29,4,11,4,10,1,4,1,43,39,0
25,4,10,2,4,5,3,0,40,39,0
18,4,9,4,8,3,4,0,30,0,0
47,4,15,2,10,5,4,0,60,16,1
50,1,13,0,4,1,4,1,55,39,1
47,5,9,0,4,1,4,1,60,39,0
43,4,10,2,13,0,4,1,40,39,1
46,4,3,2,7,0,4,1,40,26,0
35,4,11,2,8,0,4,1,40,33,0
41,4,9,2,1,0,4,1,48,39,0
30,4,9,2,7,0,4,1,40,39,0
30,4,13,2,12,0,4,1,40,39,0
32,0,4,3,0,1,4,1,40,0,0
48,4,9,2,14,0,4,1,40,39,0
42,4,16,2,10,0,4,1,45,39,1
29,4,10,0,13,1,4,1,58,39,0
36,4,9,2,3,0,4,1,40,39,0
28,4,10,0,1,1,4,0,40,39,0
53,4,9,2,1,5,4,0,40,39,1
49,5,10,2,4,0,4,1,50,39,1
25,0,10,4,0,3,4,1,40,39,0
19,4,10,4,10,3,4,1,32,39,0
31,4,13,5,12,3,2,0,40,39,0
29,6,13,2,12,0,4,1,70,39,1
23,4,10,4,7,1,4,1,40,39,0
79,4,10,2,10,2,4,1,20,39,0
27,4,9,4,8,3,4,1,40,26,0
40,4,12,2,1,0,4,1,40,39,0
67,0,6,2,0,0,4,1,2,39,0
18,4,7,4,8,3,4,0,22,39,0
31,2,4,2,5,0,4,1,40,39,0
18,4,9,4,12,1,4,1,30,39,0
52,4,13,2,8,0,4,1,40,5,0
46,4,9,2,8,5,4,0,40,39,0
59,4,9,2,12,0,4,1,48,39,0
44,4,9,0,3,1,4,0,40,39,1
53,4,9,0,12,3,4,0,35,39,0
49,2,9,2,11,0,4,1,40,39,1
33,4,14,2,10,0,4,1,50,39,0
30,4,5,4,12,1,4,1,40,39,0
43,1,16,4,10,1,4,0,50,39,1
57,4,11,2,10,0,4,1,40,39,0
37,4,10,0,3,4,4,0,40,39,0
28,4,10,0,7,4,2,0,25,39,0
30,4,9,2,12,5,1,0,35,0,0
34,2,13,2,11,0,4,1,40,39,1
29,2,10,4,6,1,4,1,50,39,0
48,6,16,2,10,0,4,1,60,39,1
37,4,10,2,12,0,4,1,48,39,1
48,4,12,0,4,4,4,0,40,9,0
32,1,9,4,8,3,2,1,40,39,0
76,4,14,2,4,0,4,1,40,39,1
44,4,13,2,4,0,4,1,60,39,1
47,6,14,4,10,1,4,0,50,39,0
20,4,10,4,13,3,4,0,40,39,0
29,4,9,4,3,1,4,1,40,39,0
32,5,9,2,3,0,4,1,40,39,1
17,0,6,4,0,3,4,0,32,39,0
30,4,7,4,6,3,4,1,40,39,0
31,2,9,4,1,1,4,0,40,39,0
42,4,9,2,6,0,4,1,40,39,0
24,4,13,4,12,2,4,1,40,39,0
38,4,15,2,10,0,4,1,40,39,1
56,6,9,2,8,0,4,1,50,2,1
28,4,10,2,12,5,4,0,25,39,0
36,4,9,4,7,3,4,0,40,39,0
53,4,5,2,6,0,4,1,50,39,0
56,5,10,2,12,0,4,1,50,39,0
49,2,11,2,3,0,2,1,40,39,1
55,4,10,2,12,0,4,1,56,39,0
22,4,9,4,3,1,4,1,41,39,0
21,4,10,4,8,3,4,0,40,39,0
40,4,13,2,4,0,4,1,60,39,0
30,4,13,4,4,3,2,1,40,11,0
29,7,13,2,10,0,4,1,50,39,1
19,4,10,4,8,3,2,1,35,39,0
47,4,13,2,4,5,4,0,40,39,1
20,4,10,4,1,3,4,0,28,39,0
31,4,12,2,1,0,4,1,40,39,1
35,0,9,2,0,0,4,1,40,39,0
39,4,10,0,3,1,4,1,40,39,0
28,4,12,4,12,1,4,0,60,39,0
24,4,9,4,8,1,4,0,40,39,0
38,6,9,2,3,0,4,1,35,39,0
37,4,13,2,12,0,4,1,50,39,0
46,4,12,0,13,1,2,0,36,39,0
38,1,14,2,10,0,4,1,40,20,1
43,6,9,2,3,0,4,1,60,39,0
27,4,11,2,1,5,4,0,35,39,0
20,4,10,4,12,3,4,1,20,39,0
49,4,10,2,3,0,1,1,40,39,1
61,5,9,2,3,0,4,1,40,39,0
27,4,10,4,12,3,4,0,40,39,0
19,4,10,4,8,3,4,1,30,26,0
45,4,11,4,10,1,4,0,40,39,1
70,4,10,4,13,2,4,1,40,39,0
31,4,9,4,14,4,2,0,30,39,0
22,4,10,2,8,0,4,1,24,39,0
36,4,9,6,8,4,4,0,24,39,0
64,4,7,2,3,0,4,1,40,39,0
43,0,10,0,0,1,4,0,40,39,0
47,2,10,0,1,4,4,0,38,26,0
34,4,9,4,1,1,4,0,40,39,0
33,4,13,4,4,2,1,0,40,30,0
